File,Mw,Lon,Lat,Depth
tamtam_nuevo.000000.log,6.9775,167.11173,-14.471466,49.6
tamtam_nuevo.000001.log,6.6202,167.841209,-16.626101,45.65
tamtam_nuevo.000002.log,7.0524,166.943083,-15.14001,25.86
tamtam_nuevo.000003.log,7.3144,169.626852,-21.199271,27.09
tamtam_nuevo.000004.log,6.9351,167.782362,-18.430268,10.94
tamtam_nuevo.000005.log,6.949,167.487282,-17.499187,9.9
tamtam_nuevo.000006.log,6.7358,167.192912,-15.452773,37.51
tamtam_nuevo.000007.log,6.8746,167.866639,-16.848676,41.59
tamtam_nuevo.000008.log,7.0022,167.291945,-17.477722,6.12
tamtam_nuevo.000009.log,7.1618,169.775443,-21.506947,22.25
tamtam_nuevo.000010.log,6.9636,168.205995,-17.632319,52.58
tamtam_nuevo.000011.log,6.7265,166.783855,-15.926207,11.07
tamtam_nuevo.000012.log,7.144,169.490938,-20.461004,53.59
tamtam_nuevo.000013.log,6.9076,167.167955,-16.689456,11.64
tamtam_nuevo.000014.log,6.586,167.72413,-18.008922,12.37
tamtam_nuevo.000015.log,6.9158,168.948389,-20.169109,23.2
tamtam_nuevo.000016.log,6.7954,167.296668,-17.15974,8.53
tamtam_nuevo.000017.log,6.816,167.471549,-16.656664,21.82
tamtam_nuevo.000018.log,7.1682,167.942928,-17.708642,26.38
tamtam_nuevo.000019.log,6.9803,166.912613,-15.934476,14.38
tamtam_nuevo.000020.log,6.9262,166.837901,-16.327544,8.73
tamtam_nuevo.000021.log,6.9476,167.898049,-16.58772,50.65
tamtam_nuevo.000022.log,6.9737,169.710118,-21.542173,18.06
tamtam_nuevo.000023.log,6.7835,167.200097,-15.531297,36.18
tamtam_nuevo.000024.log,7.1174,168.199122,-19.309364,12.65
tamtam_nuevo.000025.log,6.7408,166.459221,-14.987976,8.35
tamtam_nuevo.000026.log,6.852,169.283819,-21.756133,5.89
tamtam_nuevo.000027.log,7.0018,169.848973,-21.367278,34.48
tamtam_nuevo.000028.log,6.8105,169.275775,-21.300111,10.75
tamtam_nuevo.000029.log,7.0511,167.034874,-15.206969,31.13
tamtam_nuevo.000030.log,6.8176,167.230801,-15.051174,46.76
tamtam_nuevo.000031.log,6.9082,167.962228,-17.919275,23.31
tamtam_nuevo.000032.log,6.6909,168.040296,-17.205675,48.11
tamtam_nuevo.000033.log,6.9471,167.449025,-18.058534,6.77
tamtam_nuevo.000034.log,7.0402,167.143927,-17.147261,6.57
tamtam_nuevo.000035.log,6.9175,167.91386,-16.964638,42.45
tamtam_nuevo.000036.log,7.1206,168.660326,-20.030247,14.68
tamtam_nuevo.000037.log,6.8276,167.361879,-16.568838,18.92
tamtam_nuevo.000038.log,6.8488,169.537695,-21.644932,11.14
tamtam_nuevo.000039.log,7.0671,169.617981,-20.835498,43.53
tamtam_nuevo.000040.log,7.1767,167.283957,-17.310872,6.59
tamtam_nuevo.000041.log,6.81,167.984547,-16.759418,53.52
tamtam_nuevo.000042.log,6.984,170.243354,-21.794721,32.84
tamtam_nuevo.000043.log,6.8108,167.979778,-17.492959,34.43
tamtam_nuevo.000044.log,6.9725,166.568722,-15.193263,10.47
tamtam_nuevo.000045.log,6.921,169.652053,-21.722101,12.28
tamtam_nuevo.000046.log,6.7167,167.449025,-18.058534,6.77
tamtam_nuevo.000047.log,6.8427,167.808524,-16.252049,52.18
tamtam_nuevo.000048.log,7.0276,169.453884,-20.575898,43.43
tamtam_nuevo.000049.log,7.2153,169.302941,-21.578112,7.56
tamtam_nuevo.000050.log,6.8943,169.089337,-19.919946,43.37
tamtam_nuevo.000051.log,6.8705,167.090958,-15.094962,35.64
tamtam_nuevo.000052.log,6.946,167.090958,-15.094962,35.64
tamtam_nuevo.000053.log,7.2733,167.978148,-17.37914,37.33
tamtam_nuevo.000054.log,6.9718,167.911869,-16.89551,44.04
tamtam_nuevo.000055.log,6.9858,166.997167,-16.2066,13.12
tamtam_nuevo.000056.log,7.3714,166.509566,-16.133529,5.32
tamtam_nuevo.000057.log,6.9543,166.670973,-15.017797,13.96
tamtam_nuevo.000058.log,6.9582,168.284271,-19.098798,18.33
tamtam_nuevo.000059.log,6.7667,166.848007,-15.894289,13.02
tamtam_nuevo.000060.log,7.0777,166.898723,-14.741446,24.79
tamtam_nuevo.000061.log,6.7931,170.110651,-21.479687,46.13
tamtam_nuevo.000062.log,7.2616,168.133676,-18.121019,31.17
tamtam_nuevo.000063.log,6.9808,167.91386,-16.964638,42.45
tamtam_nuevo.000064.log,7.1748,167.249277,-16.714063,13.31
tamtam_nuevo.000065.log,6.9689,167.18583,-14.782691,46.67
tamtam_nuevo.000066.log,6.7872,169.223345,-21.230793,10.74
tamtam_nuevo.000067.log,6.9988,167.81427,-18.186202,13.75
tamtam_nuevo.000068.log,6.6476,167.291945,-17.477722,6.12
tamtam_nuevo.000069.log,6.869,169.353265,-21.011525,18.34
tamtam_nuevo.000070.log,7.2122,167.922335,-17.295694,34.81
tamtam_nuevo.000071.log,7.0662,166.449336,-14.930103,8.07
tamtam_nuevo.000072.log,7.371,169.240531,-20.43982,33.09
tamtam_nuevo.000073.log,6.8372,166.438721,-15.374909,7.16
tamtam_nuevo.000074.log,6.8921,167.464583,-17.292585,10.22
tamtam_nuevo.000075.log,6.949,167.922335,-17.295694,34.81
tamtam_nuevo.000076.log,6.8906,169.671014,-21.850973,10.37
tamtam_nuevo.000077.log,7.0653,169.1069,-21.119131,10.11
tamtam_nuevo.000078.log,6.8692,167.879274,-18.561595,12.47
tamtam_nuevo.000079.log,7.1164,167.074222,-14.314698,52.25
tamtam_nuevo.000080.log,7.2631,169.912137,-21.380903,37.81
tamtam_nuevo.000081.log,7.0613,167.567679,-15.796682,47.77
tamtam_nuevo.000082.log,6.8485,166.892838,-15.082808,23.01
tamtam_nuevo.000083.log,7.296,167.200097,-15.531297,36.18
tamtam_nuevo.000084.log,7.1832,167.895914,-17.940442,18.96
tamtam_nuevo.000085.log,6.916,169.315889,-20.567495,33.2
tamtam_nuevo.000086.log,6.9617,169.626852,-21.199271,27.09
tamtam_nuevo.000087.log,6.9825,168.957854,-19.943498,32.23
tamtam_nuevo.000088.log,7.4168,167.305157,-15.414667,45.37
tamtam_nuevo.000089.log,7.1931,167.11173,-14.471466,49.6
tamtam_nuevo.000090.log,6.8911,169.617981,-20.835498,43.53
tamtam_nuevo.000091.log,7.1641,166.658627,-15.915239,8.56
tamtam_nuevo.000092.log,7.3784,169.063174,-20.999873,10.85
tamtam_nuevo.000093.log,7.0949,167.230727,-17.420095,4.93
tamtam_nuevo.000094.log,7.0634,167.61198,-17.462985,13.49
tamtam_nuevo.000095.log,7.1018,168.796309,-19.385074,41.34
tamtam_nuevo.000096.log,6.9361,168.12954,-19.180336,12.57
tamtam_nuevo.000097.log,7.1917,168.205995,-17.632319,52.58
tamtam_nuevo.000098.log,6.942,167.23473,-17.344486,5.36
tamtam_nuevo.000099.log,7.0122,167.451244,-17.647061,8.66
tamtam_nuevo.000100.log,6.9297,168.845774,-20.00557,22.32
tamtam_nuevo.000101.log,6.8922,167.596168,-17.173139,16.2
tamtam_nuevo.000102.log,7.0779,167.670672,-15.97819,49.07
tamtam_nuevo.000103.log,7.1749,167.550884,-18.347694,7.56
tamtam_nuevo.000104.log,7.208,166.802087,-14.479613,22.74
tamtam_nuevo.000105.log,7.0573,167.161555,-17.23904,5.57
tamtam_nuevo.000106.log,7.1076,167.830257,-18.839496,9.25
tamtam_nuevo.000107.log,6.9517,167.54021,-17.035274,16.61
tamtam_nuevo.000108.log,6.9733,169.851282,-21.902013,12.87
tamtam_nuevo.000109.log,7.125,167.830257,-18.839496,9.25
tamtam_nuevo.000110.log,7.0327,169.697433,-21.308921,27.03
tamtam_nuevo.000111.log,7.2886,167.131519,-16.865974,9.2
tamtam_nuevo.000112.log,6.6207,168.643593,-20.170009,12.27
tamtam_nuevo.000113.log,7.2419,169.572023,-21.247124,21.16
tamtam_nuevo.000114.log,6.9932,168.007262,-19.152578,10.1
tamtam_nuevo.000115.log,6.8837,167.741764,-17.880312,13.98
tamtam_nuevo.000116.log,7.0357,167.40415,-17.593198,8.05
tamtam_nuevo.000117.log,6.9019,169.283819,-21.756133,5.89
tamtam_nuevo.000118.log,7.1749,169.949503,-21.589354,28.44
tamtam_nuevo.000119.log,7.1409,166.943083,-15.14001,25.86
tamtam_nuevo.000120.log,7.1015,168.007036,-18.061087,23.52
tamtam_nuevo.000121.log,7.0707,167.850442,-18.416901,12.76
tamtam_nuevo.000122.log,7.1559,168.791776,-20.062388,18.34
tamtam_nuevo.000123.log,7.1402,169.196387,-21.013302,13.72
tamtam_nuevo.000124.log,7.2438,169.572023,-21.247124,21.16
tamtam_nuevo.000125.log,7.231,169.266248,-20.883498,18.31
tamtam_nuevo.000126.log,7.2828,167.117941,-16.740362,10.06
tamtam_nuevo.000127.log,7.1975,168.308122,-19.863386,8.95
tamtam_nuevo.000128.log,7.2067,167.917965,-18.714939,12.15
tamtam_nuevo.000129.log,7.0442,169.893249,-21.542695,27.72
tamtam_nuevo.000130.log,7.4617,169.13084,-21.288777,8.45
tamtam_nuevo.000131.log,7.0769,169.188723,-21.090923,12.23
tamtam_nuevo.000132.log,7.3662,166.994464,-14.033699,52.88
tamtam_nuevo.000133.log,6.9486,167.569548,-15.736617,49.77
tamtam_nuevo.000134.log,7.1471,169.412196,-21.380623,12.54
tamtam_nuevo.000135.log,7.1723,167.682266,-17.443421,16.31
tamtam_nuevo.000136.log,7.0377,167.262198,-17.246196,6.91
tamtam_nuevo.000137.log,7.2348,169.436911,-21.662142,8.88
tamtam_nuevo.000138.log,7.2786,167.838895,-17.075182,33.43
tamtam_nuevo.000139.log,6.8183,167.979778,-17.492959,34.43
tamtam_nuevo.000140.log,7.2308,166.459221,-14.987976,8.35
tamtam_nuevo.000141.log,7.1838,167.569548,-15.736617,49.77
tamtam_nuevo.000142.log,7.0855,166.935058,-14.415486,34.26
tamtam_nuevo.000143.log,6.8596,166.690675,-14.20373,21.58
tamtam_nuevo.000144.log,6.9791,169.537695,-21.644932,11.14
tamtam_nuevo.000145.log,7.0198,168.008809,-18.374819,18.35
tamtam_nuevo.000146.log,7.1641,168.065133,-19.213704,10.69
tamtam_nuevo.000147.log,7.0563,169.275775,-21.300111,10.75
tamtam_nuevo.000148.log,6.8128,169.756423,-21.010501,46.65
tamtam_nuevo.000149.log,7.2046,166.316303,-15.075519,5.87
tamtam_nuevo.000150.log,7.3843,169.302941,-21.578112,7.56
tamtam_nuevo.000151.log,7.0201,168.36703,-18.813796,29.3
tamtam_nuevo.000152.log,6.9522,166.741538,-14.861954,16.42
tamtam_nuevo.000153.log,7.0423,167.737312,-18.882574,7.61
tamtam_nuevo.000154.log,6.9404,169.510978,-21.126647,22.24
tamtam_nuevo.000155.log,7.1893,167.507542,-16.371435,31.05
tamtam_nuevo.000156.log,7.1951,167.610457,-16.164906,41.4
tamtam_nuevo.000157.log,7.0528,167.946504,-17.580487,29.55
tamtam_nuevo.000158.log,6.955,169.628031,-20.990211,36.45
tamtam_nuevo.000159.log,7.1386,166.824026,-14.271785,29.57
tamtam_nuevo.000160.log,7.2934,170.027707,-21.977559,15.02
tamtam_nuevo.000161.log,7.0258,168.234492,-17.719682,52.84
tamtam_nuevo.000162.log,7.2224,167.841209,-16.626101,45.65
tamtam_nuevo.000163.log,7.2032,166.301091,-15.36288,4.84
tamtam_nuevo.000164.log,7.13,168.125642,-19.090855,13.53
tamtam_nuevo.000165.log,7.2703,168.018277,-17.6753,33.05
tamtam_nuevo.000166.log,7.055,169.572023,-21.247124,21.16
tamtam_nuevo.000167.log,6.9583,166.887456,-14.62333,25.7
tamtam_nuevo.000168.log,7.4179,170.066083,-21.866801,19.35
tamtam_nuevo.000169.log,7.0918,167.307688,-15.772061,35.33
tamtam_nuevo.000170.log,6.9804,169.945209,-21.20143,53.0
tamtam_nuevo.000171.log,6.8,167.230727,-17.420095,4.93
tamtam_nuevo.000172.log,7.0465,166.943083,-15.14001,25.86
tamtam_nuevo.000173.log,7.2872,167.0896,-15.318972,33.46
tamtam_nuevo.000174.log,7.257,167.007802,-15.033919,30.38
tamtam_nuevo.000175.log,7.2786,167.18583,-14.782691,46.67
tamtam_nuevo.000176.log,7.3302,166.278067,-14.990714,5.29
tamtam_nuevo.000177.log,7.0797,167.458209,-15.587403,48.57
tamtam_nuevo.000178.log,6.8478,169.283819,-21.756133,5.89
tamtam_nuevo.000179.log,7.2222,167.132592,-14.372278,56.26
tamtam_nuevo.000180.log,7.2455,166.50994,-15.009493,9.49
